epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,100.664,2.22066,1.96281,2.65601,0.35668,0.46063,0.29468,0.13035,2.10358,2.04891,2.61933,0.0011882,0.0011882,0.0011882
43,103.331,2.35164,2.173,2.79307,0.38965,0.43701,0.3373,0.14007,2.16996,2.08647,2.6636,0.0011684,0.0011684,0.0011684
44,105.549,2.19378,1.94522,2.65716,0.50411,0.46063,0.46416,0.23613,2.00065,1.9121,2.52192,0.0011486,0.0011486,0.0011486
45,109.104,2.0911,1.78647,2.51483,0.59601,0.41339,0.46091,0.22326,1.99201,1.912,2.53723,0.0011288,0.0011288,0.0011288
46,111.349,2.22166,2.00249,2.62827,0.52201,0.43701,0.44619,0.20694,2.02061,2.00693,2.57866,0.001109,0.001109,0.001109
47,113.403,2.11343,1.89765,2.61334,0.46532,0.49213,0.43481,0.19876,1.9403,2.04698,2.48719,0.0010892,0.0010892,0.0010892
48,115.519,2.17442,2.004,2.63516,0.46021,0.37008,0.3687,0.15441,2.04406,2.3423,2.58004,0.0010694,0.0010694,0.0010694
49,117.497,2.05396,1.86451,2.53538,0.40781,0.35433,0.27517,0.11304,2.06492,2.51168,2.63838,0.0010496,0.0010496,0.0010496
50,119.503,2.06151,2.00827,2.61564,0.29787,0.40157,0.20624,0.07917,2.12057,2.72813,2.70305,0.0010298,0.0010298,0.0010298
51,122.768,2.06353,1.87277,2.54461,0.29308,0.42913,0.19757,0.07261,2.10719,2.4298,2.73842,0.00101,0.00101,0.00101
52,125.454,2.01702,1.85183,2.47241,0.37434,0.41339,0.32128,0.13892,1.98093,2.11821,2.60326,0.0009902,0.0009902,0.0009902
53,127.422,2.00834,1.85046,2.5127,0.48421,0.48819,0.47556,0.23182,1.82603,1.84377,2.45648,0.0009704,0.0009704,0.0009704
54,129.43,2.01477,1.82702,2.51586,0.47709,0.5388,0.50143,0.25543,1.75906,1.80818,2.36715,0.0009506,0.0009506,0.0009506
55,131.555,1.95872,1.85313,2.46982,0.43266,0.43234,0.39928,0.19418,1.86145,2.08756,2.48327,0.0009308,0.0009308,0.0009308
